"plotn"	"TypePL"	"TCT"	"PLrr"	"MF"	"TypeMF"	"Aridity"	"RWC"	"Height"	"Shanon"	"alpha"	"Potential"	"SLO"	"Sand"	"Facil"	"HumanFootprint"	"Cow"	"Goat"	"Pig"	"prod"	"veg_type"	"ph"	"sr"	"lat"	"long"
"4"	"10"	0	21.36030457	0.566115625	-0.22244871	0	0.7822	46.95733938	2.455966481	10.95	2.036279555	0.255404829	0.5	2.859250805	NA	8.99512	4.54713	0.44738	0	11.47244323	2	8.625277492	28	-38.700489	-66.183086
"410"	"10"	0	21.36030457	0.566115625	-0.22244871	0	0.7822	46.95733938	2.455966481	10.95	2.036279555	0.255404829	0.5	2.859250805	NA	8.99512	4.54713	0.44738	0	11.47244323	2	8.625277492	28	-38.700489	-66.183086
"411"	"10"	0	21.36030457	0.566115625	-0.22244871	0	0.7822	46.95733938	2.455966481	10.95	2.036279555	0.255404829	0.5	2.859250805	NA	8.99512	4.54713	0.44738	0	11.47244323	2	8.625277492	28	-38.700489	-66.183086
"28"	"100"	0	31.2925	0.190546583	0.295650288	1	0.7254	90.32844999	2.066288645	13.47	3.327604519	0.254411203	4.2	2.561439499	NA	9.36845	9.89987	12.39053	3.49	13.01093807	2	8.133529841	33	22.246529	-99.655561
"281"	"100"	0	31.2925	0.190546583	0.295650288	1	0.7254	90.32844999	2.066288645	13.47	3.327604519	0.254411203	4.2	2.561439499	NA	9.36845	9.89987	12.39053	3.49	13.01093807	2	8.133529841	33	22.246529	-99.655561
"282"	"100"	0	31.2925	0.190546583	0.295650288	1	0.7254	90.32844999	2.066288645	13.47	3.327604519	0.254411203	4.2	2.561439499	NA	9.36845	9.89987	12.39053	3.49	13.01093807	2	8.133529841	33	22.246529	-99.655561
"29"	"101"	0	6.0775	0.537299346	0.161096476	1	0.7894	86.93729666	NA	4.95	2.40569266	0.327590087	2.5	2.694664261	NA	3.56553	5.06571	10.88408	1.07844	13.59864022	2	8.364914624	15	23.601688	-100.943528
"291"	"101"	0	6.0775	0.537299346	0.161096476	1	0.7894	86.93729666	NA	4.95	2.40569266	0.327590087	2.5	2.694664261	NA	3.56553	5.06571	10.88408	1.07844	13.59864022	2	8.364914624	15	23.601688	-100.943528
"292"	"101"	0	6.0775	0.537299346	0.161096476	1	0.7894	86.93729666	NA	4.95	2.40569266	0.327590087	2.5	2.694664261	NA	3.56553	5.06571	10.88408	1.07844	13.59864022	2	8.364914624	15	23.601688	-100.943528
"30"	"104"	1	61.25	0.677948919	0.709906931	1	0.7716	0	1.802787404	2.56	1.492897528	0.519815872	6.7	2.784452477	NA	3.26097	6.04216	12.78822	1.03901	13.06462982	1	8.009011517	6	23.254883	-101.055406
"301"	"104"	1	61.25	0.677948919	0.709906931	1	0.7716	0	1.802787404	2.56	1.492897528	0.519815872	6.7	2.784452477	NA	3.26097	6.04216	12.78822	1.03901	13.06462982	1	8.009011517	6	23.254883	-101.055406
"302"	"104"	1	61.25	0.677948919	0.709906931	1	0.7716	0	1.802787404	2.56	1.492897528	0.519815872	6.7	2.784452477	NA	3.26097	6.04216	12.78822	1.03901	13.06462982	1	8.009011517	6	23.254883	-101.055406
"5"	"11"	1	4.508774175	0.625917097	-0.575257766	0	0.8112	57.89574649	2.663310733	9.31	1.698849543	0.390252924	0.5	3.041700872	NA	6.95834	3.76157	2.85776	0	6.008840576	2	8.421067297	28	-37.671353	-67.233153
"510"	"11"	1	4.508774175	0.625917097	-0.575257766	0	0.8112	57.89574649	2.663310733	9.31	1.698849543	0.390252924	0.5	3.041700872	NA	6.95834	3.76157	2.85776	0	6.008840576	2	8.421067297	28	-37.671353	-67.233153
"511"	"11"	1	4.508774175	0.625917097	-0.575257766	0	0.8112	57.89574649	2.663310733	9.31	1.698849543	0.390252924	0.5	3.041700872	NA	6.95834	3.76157	2.85776	0	6.008840576	2	8.421067297	28	-37.671353	-67.233153
"31"	"110"	1	55.5	0.654370998	-0.19322391	0	0.6097	0	1.277723789	2.87	2.028427544	0.38229277	7.5	2.703710111	NA	5.26128	11.14173	5.16528	1.9113	5.436935591	1	6.770331403	9	21.771804	-101.673516
"311"	"110"	1	55.5	0.654370998	-0.19322391	0	0.6097	0	1.277723789	2.87	2.028427544	0.38229277	7.5	2.703710111	NA	5.26128	11.14173	5.16528	1.9113	5.436935591	1	6.770331403	9	21.771804	-101.673516
"312"	"110"	1	55.5	0.654370998	-0.19322391	0	0.6097	0	1.277723789	2.87	2.028427544	0.38229277	7.5	2.703710111	NA	5.26128	11.14173	5.16528	1.9113	5.436935591	1	6.770331403	9	21.771804	-101.673516
"32"	"112"	0	22.58333333	0.497172665	0.240614167	1	0.7721	10.6643076	1.91195087	2.32	2.077290718	0.339373058	5.25	2.755956252	"0"	17.69371	1.22667	8.99281	0.03901	9.260959957	1	8.301462789	11	34.159182	-2.372904
"321"	"112"	0	22.58333333	0.497172665	0.240614167	1	0.7721	10.6643076	1.91195087	2.32	2.077290718	0.339373058	5.25	2.755956252	"0"	17.69371	1.22667	8.99281	0.03901	9.260959957	1	8.301462789	11	34.159182	-2.372904
"322"	"112"	0	22.58333333	0.497172665	0.240614167	1	0.7721	10.6643076	1.91195087	2.32	2.077290718	0.339373058	5.25	2.755956252	"0"	17.69371	1.22667	8.99281	0.03901	9.260959957	1	8.301462789	11	34.159182	-2.372904
"33"	"113"	0	36.70833333	0.454864771	0.436499772	1	0.7481	0	1.943954288	1.6	2.073856541	0.255626797	5.75	2.669140671	"18.18181818"	20.41462	1.20927	7.47536	0	9.44570278	1	8.266375267	11	34.430867	-2.192604
"331"	"113"	0	36.70833333	0.454864771	0.436499772	1	0.7481	0	1.943954288	1.6	2.073856541	0.255626797	5.75	2.669140671	"18.18181818"	20.41462	1.20927	7.47536	0	9.44570278	1	8.266375267	11	34.430867	-2.192604
"332"	"113"	0	36.70833333	0.454864771	0.436499772	1	0.7481	0	1.943954288	1.6	2.073856541	0.255626797	5.75	2.669140671	"18.18181818"	20.41462	1.20927	7.47536	0	9.44570278	1	8.266375267	11	34.430867	-2.192604
"34"	"114"	0	16.61494253	0.384046139	-0.58395428	0	0.8004	2.661401099	NA	2.69	2.657051899	0.25245845	18.25	2.74731285	NA	8.94753	1.58277	11.04818	0	10.83466824	1	8.337406926	7	33.976574	-3.373502
"341"	"114"	0	16.61494253	0.384046139	-0.58395428	0	0.8004	2.661401099	NA	2.69	2.657051899	0.25245845	18.25	2.74731285	NA	8.94753	1.58277	11.04818	0	10.83466824	1	8.337406926	7	33.976574	-3.373502
"342"	"114"	0	16.61494253	0.384046139	-0.58395428	0	0.8004	2.661401099	NA	2.69	2.657051899	0.25245845	18.25	2.74731285	NA	8.94753	1.58277	11.04818	0	10.83466824	1	8.337406926	7	33.976574	-3.373502
"35"	"115"	0	36.58333333	0.465779242	-0.607513053	0	0.6846	0	1.945832806	1.36	2.143810049	0.67238025	4	2.718330969	"0"	8.39358	1.98748	11.01674	0.00491	5.505419008	1	8.352081837	7	34.473045	-3.638859
"351"	"115"	0	36.58333333	0.465779242	-0.607513053	0	0.6846	0	1.945832806	1.36	2.143810049	0.67238025	4	2.718330969	"0"	8.39358	1.98748	11.01674	0.00491	5.505419008	1	8.352081837	7	34.473045	-3.638859
"352"	"115"	0	36.58333333	0.465779242	-0.607513053	0	0.6846	0	1.945832806	1.36	2.143810049	0.67238025	4	2.718330969	"0"	8.39358	1.98748	11.01674	0.00491	5.505419008	1	8.352081837	7	34.473045	-3.638859
"36"	"116"	0	45.91666667	0.553947027	0.159327367	1	0.6826	0.609756098	1.939708903	1.46	2.187009356	0.330275206	14.25	2.689240819	"28.57142857"	13.26489	2.22151	14.01552	0.02841	8.416819307	1	8.277645592	14	34.442005	-3.592513
"361"	"116"	0	45.91666667	0.553947027	0.159327367	1	0.6826	0.609756098	1.939708903	1.46	2.187009356	0.330275206	14.25	2.689240819	"28.57142857"	13.26489	2.22151	14.01552	0.02841	8.416819307	1	8.277645592	14	34.442005	-3.592513
"362"	"116"	0	45.91666667	0.553947027	0.159327367	1	0.6826	0.609756098	1.939708903	1.46	2.187009356	0.330275206	14.25	2.689240819	"28.57142857"	13.26489	2.22151	14.01552	0.02841	8.416819307	1	8.277645592	14	34.442005	-3.592513
"37"	"118"	0	33.20833333	0.522959683	0.223005307	1	0.7655	10.50420594	1.903751782	1.96	2.084631297	0.304588184	7.25	2.860140602	"10"	15.00903	1.73984	12.96195	0.0101	19.73734698	1	8.365316195	10	33.872473	-3.63389
"371"	"118"	0	33.20833333	0.522959683	0.223005307	1	0.7655	10.50420594	1.903751782	1.96	2.084631297	0.304588184	7.25	2.860140602	"10"	15.00903	1.73984	12.96195	0.0101	19.73734698	1	8.365316195	10	33.872473	-3.63389
"372"	"118"	0	33.20833333	0.522959683	0.223005307	1	0.7655	10.50420594	1.903751782	1.96	2.084631297	0.304588184	7.25	2.860140602	"10"	15.00903	1.73984	12.96195	0.0101	19.73734698	1	8.365316195	10	33.872473	-3.63389
"38"	"119"	0	25.95833333	0.480474696	-0.577704454	0	0.7838	0	1.923575573	2.06	2.129427897	0.321653279	10.75	2.900167574	"66.66666667"	14.79674	1.59898	18.91239	0.03259	12.04906087	1	8.486204998	9	33.932621	-3.558751
"381"	"119"	0	25.95833333	0.480474696	-0.577704454	0	0.7838	0	1.923575573	2.06	2.129427897	0.321653279	10.75	2.900167574	"66.66666667"	14.79674	1.59898	18.91239	0.03259	12.04906087	1	8.486204998	9	33.932621	-3.558751
"382"	"119"	0	25.95833333	0.480474696	-0.577704454	0	0.7838	0	1.923575573	2.06	2.129427897	0.321653279	10.75	2.900167574	"66.66666667"	14.79674	1.59898	18.91239	0.03259	12.04906087	1	8.486204998	9	33.932621	-3.558751
"6"	"12"	0	8.347199727	0.502242013	-0.618603814	0	0.8647	22.42421929	2.507869359	10.64	2.062637775	0.290124068	0.5	2.731738578	NA	5.31969	1.68574	2.90792	1e-05	7.368797747	2	8.459523804	18	-37.549969	-68.050022
"610"	"12"	0	8.347199727	0.502242013	-0.618603814	0	0.8647	22.42421929	2.507869359	10.64	2.062637775	0.290124068	0.5	2.731738578	NA	5.31969	1.68574	2.90792	1e-05	7.368797747	2	8.459523804	18	-37.549969	-68.050022
"611"	"12"	0	8.347199727	0.502242013	-0.618603814	0	0.8647	22.42421929	2.507869359	10.64	2.062637775	0.290124068	0.5	2.731738578	NA	5.31969	1.68574	2.90792	1e-05	7.368797747	2	8.459523804	18	-37.549969	-68.050022
"39"	"120"	1	17.79166667	0.585388155	-0.544640985	0	0.7727	0	1.943815913	3.33	2.154156981	0.290933981	5.75	2.937665117	"23.07692308"	4.0408	0.17554	2.27101	0.00553	5.159701018	1	8.373917821	13	33.06768	-2.728708
"391"	"120"	1	17.79166667	0.585388155	-0.544640985	0	0.7727	0	1.943815913	3.33	2.154156981	0.290933981	5.75	2.937665117	"23.07692308"	4.0408	0.17554	2.27101	0.00553	5.159701018	1	8.373917821	13	33.06768	-2.728708
"392"	"120"	1	17.79166667	0.585388155	-0.544640985	0	0.7727	0	1.943815913	3.33	2.154156981	0.290933981	5.75	2.937665117	"23.07692308"	4.0408	0.17554	2.27101	0.00553	5.159701018	1	8.373917821	13	33.06768	-2.728708
"40"	"121"	0	28.45833333	0.311581182	-0.141514862	0	0.7293	1.439393939	1.936372976	3.68	2.987526253	0.417980097	20	2.726584903	"18.75"	14.60513	1.49297	8.373	0.00647	8.760400108	1	8.463831418	16	34.633215	-3.413628
